Fecha,Producto,Marca,Precio,Unidad,Categoria
2026-03-08,Salsa golf Danica 220 g.,Dánica,1450.0,1.0 un,Almacen
2026-03-08,Tomate perita Bulnez cubeteados en lata 400 g.,Bulnez,1090.0,1.0 un,Almacen
2026-03-08,Nachos Macritas restaurant style 250 g.,Macritas,3520.0,1.0 un,Almacen
2026-03-08,Aceite de oliva Cocinero extra virgen pet 500 cc.,Cocinero,13650.0,1.0 un,Almacen
2026-03-08,Almidón de maíz Maizena clásica sin tacc 500 g.,Maizena,3679.0,1.0 un,Almacen
2026-03-08,Almidón de maíz Maizena clásica sin tacc 220 g.,Maizena,2149.0,1.0 un,Almacen
2026-03-08,Arroz largo fino Crucero 00000 1 kg.,Crucero,1280.0,1.0 un,Almacen
2026-03-08,Palitos de maíz sabor queso Carrefour classic 145 g.,Carrefour,1341.0,1.0 un,Almacen
2026-03-08,Mani pelado salado Carrefour classic 115 g.,Carrefour,991.9,1.0 un,Almacen
2026-03-08,Palitos Krachitos salados 110 g.,Krachitos,1500.0,1.0 un,Almacen
2026-03-08,Gelatina Royal sabor frutos rojos 25 g.,Genérico,1330.0,1.0 un,Almacen
2026-03-08,Aceituna verde Carrefour descarozadas classic dp 140 g.,Carrefour,2331.0,1.0 un,Almacen
2026-03-08,Aceituna verde Carrefour classic dp 170 g.,Carrefour,1625.4,1.0 un,Almacen
2026-03-08,Tomate perita Classic cubeteados en lata 400 g.,Carrefour,1238.4,1.0 un,Almacen
2026-03-08,Harina de trigo Tassara tipo 000 1 kg.,Tassara,849.0,1.0 un,Almacen
2026-03-08,Aceite de girasol Legitimo 1.5 lt.,Legitimo,5799.0,1.0 un,Almacen
2026-03-08,Atún en aceite La campagnola lomitos 170 g.,La Campagnola,5535.0,1.0 un,Almacen
2026-03-08,Caldo de gallina Maggi 12 uni,Maggi,1699.0,1.0 un,Almacen
2026-03-08,Mayonesa BC La Campagnola light 500 g.,La Campagnola,2509.0,1.0 un,Almacen
2026-03-08,Polenta instantánea Presto Pronta bolsa 730 g.,Presto Pronta,2189.0,1.0 un,Almacen
2026-03-08,Arvejas secas remojadas Arcor 300 g.,Arcor,1220.0,1.0 un,Almacen
2026-03-08,Harina fina integral Tassara 1 kg.,Tassara,1260.0,1.0 un,Almacen
2026-03-08,Lentejas secas remojadas Inalpa lata 300 g.,Inalpa,1125.0,1.0 un,Almacen
2026-03-08,Pimentón dulce Alicante sobre 50 g.,Alicante,1659.0,1.0 un,Almacen
2026-03-08,Fideos mostachol rayado Carrefour classic 500 g.,Carrefour,909.09,1.0 un,Almacen
2026-03-08,Fideos guiseros codo Carrefour classic 500 g.,Carrefour,909.09,1.0 un,Almacen
2026-03-08,Harina integral fina Chacabuco 1 kg.,Chacabuco,1459.0,1.0 un,Almacen
2026-03-08,Harina 000 Chacabuco 1 kg.,Chacabuco,895.0,1.0 un,Almacen
2026-03-08,Harina integral Pureza con levadura pizza 1 kg.,Pureza,2079.0,1.0 un,Almacen
2026-03-08,Provenzal Alicante sobre 50 g.,Alicante,2409.0,1.0 un,Almacen
2026-03-08,Orégano Alicante sobre 50 g.,Alicante,2699.0,1.0 un,Almacen
2026-03-08,Capelletini verdura fortificado Giacomo 500 g.,Giacomo,4900.0,1.0 un,Almacen
2026-03-08,Capelletini jamón queso fortificado Giacomo 500 g.,Giacomo,4900.0,1.0 un,Almacen
2026-03-08,Saborizador albahaca y ajo Alicante sobre x 4 uni,Alicante,1519.0,1.0 un,Almacen
2026-03-08,Arvejas secas remojadas Doña Pupa tetra 340 g.,Doña Pupa,719.0,1.0 un,Almacen
2026-03-08,Arroz integral Molinos Ala bolsa 1 kg.,Molinos Ala,2250.0,1.0 un,Almacen
2026-03-08,Vinagre de alcohol Casalta 1 l.,Casalta,1565.0,1.0 un,Almacen
2026-03-08,Ketchup Natura 500 cc.,Natura,2929.0,1.0 un,Almacen
2026-03-08,Aceite en aerosol Cañuelas de girasol 187 cc.,Cañuelas,2544.75,1.0 un,Almacen
2026-03-08,Mayonesa Heinz con jugo de limón 350 g.,Heinz,2489.0,1.0 un,Almacen
2026-03-08,Polvo para Hornear Royal 100 g.,Royal,2469.0,1.0 un,Almacen
2026-03-08,Fideos mostacholes rayados Favorita fortificado 500 g.,Favorita,965.0,1.0 un,Almacen
2026-03-08,Duraznos amarillos en mitades Carrefour Light 800 g.,Carrefour,2447.9,1.0 un,Almacen
2026-03-08,Rebozador Aglu 450 g. SIN TACC.,Aglu,1680.0,1.0 un,Almacen
2026-03-08,Caldo de verduras Carrefour classic caja 12 u.,Carrefour,1355.9,1.0 un,Almacen
2026-03-08,Fideos monos Lucchetti bolsa 500 g.,Lucchetti,2409.0,1.0 un,Almacen
2026-03-08,Fideos coditos rayados Matarazzo 500 g.,Matarazzo,1849.0,1.0 un,Almacen
2026-03-08,Pan rallado Mamá Cocina fortificado 1 kg.,Mamá Cocina,2950.0,1.0 un,Almacen
2026-03-08,Ketchup Natura 250 cc.,Natura,1489.0,1.0 un,Almacen
2026-03-08,Lomitos de atún Carrefour al natural 3 x 80 g.,Carrefour,4863.3,1.0 un,Almacen
2026-03-08,Pan rallado Carrefour classic 500 g.,Carrefour,1071.0,1.0 un,Almacen
2026-03-08,Aceite de oliva Carrefour Classic virgen en botella 500 ml,Carrefour,10662.8,1.0 un,Almacen
2026-03-08,Ajo picado deshidratado 50 g.,Genérico,1169.0,1.0 un,Almacen
2026-03-08,Arroz Molinos Ala largo fino 00000 bolsa 500 g.,Molinos Ala,1050.0,1.0 un,Almacen
2026-03-08,Tomate perita cubeteado Arcor 400 g.,Arcor,1575.0,1.0 un,Almacen
2026-03-08,Tomate perita Arcor 400 g.,Arcor,1269.0,1.0 un,Almacen
2026-03-08,Mayonesa Mayoliva aceite de oliva 250 cc.,Mayoliva,2239.0,1.0 un,Almacen
2026-03-08,Salsa de soja La Parmesana 300 g.,La Parmesana,2700.0,1.0 un,Almacen
2026-03-08,Sal parrillera Dos Anclas caja 500 g.,Dos Anclas,1309.0,1.0 un,Almacen
2026-03-08,Harina leudante Caserita x 1 kg,Caserita,1499.0,1.0 un,Almacen
2026-03-08,Palmitos enteros Carrefour 400 g.,Carrefour,4311.0,1.0 un,Almacen
2026-03-08,Fideos moños Matarazzo 500 g.,Matarazzo,2409.0,1.0 un,Almacen
2026-03-08,Picadillo de carne Swift 90 g.,Swift,1249.0,1.0 un,Almacen
2026-03-08,Sal fina Dos Anclas 500 g.,Dos Anclas,1549.0,1.0 un,Almacen
2026-03-08,Pulpa de tomate Carrefour Classic tetra 520 grs,Carrefour,772.59,1.0 un,Almacen
2026-03-08,Galletitas original Club Social x6 24 grs,Club Social,2600.22,1.0 un,Almacen
2026-03-08,Picadillo de carne Bulnez en lata 90 grs,Bulnez,849.0,1.0 un,Almacen
2026-03-08,Arroz largo fino Bulnez 500 grs,Bulnez,619.0,1.0 un,Almacen
2026-03-08,Arroz largo fino Bulnez 1 kg,Bulnez,1190.0,1.0 un,Almacen
2026-03-08,Fideos secos Bulnez pamperitos 500 grs,Bulnez,959.0,1.0 un,Almacen
2026-03-08,Papas fritas Pehuamar acanaladas 450 grs,Pehuamar,9765.0,1.0 un,Almacen
2026-03-08,Baguetin Carrefour Classic sabor jamón 70 grs,Carrefour,881.79,1.0 un,Almacen
2026-03-08,Aceitunas verdes Nucete dp 220 grs,Nucete,1389.0,1.0 un,Almacen
2026-03-08,Vinagre de alcohol Bulnez 1 lt,Bulnez,1290.0,1.0 un,Almacen
2026-03-08,Lentejón Carrefour Classic 400 grs,Carrefour,1990.0,1.0 un,Almacen
2026-03-08,Maíz pisingallo Carrefour Classic 400 grs,Carrefour,819.0,1.0 un,Almacen
2026-03-08,Maíz pisingallo Bulnez 400 grs,Bulnez,719.0,1.0 un,Almacen
2026-03-08,Aceite de girasol Carrefour Classic pet 900 ml,Carrefour,3186.6,1.0 un,Almacen
2026-03-08,Fideos tirabuzón Matarazzo proteina plus 400 grs,Matarazzo,3649.0,1.0 un,Almacen
2026-03-08,Aceite de oliva extra virgen Carrefour Extra  en botella 500 ml,Carrefour,11030.8,1.0 un,Almacen
2026-03-08,Gelatina light Carrefour Classic sabor frambuesa 20 grs,Carrefour,882.57,1.0 un,Almacen
2026-03-08,Gelatina light Carrefour Classic sabor frutilla 20 grs,Carrefour,882.57,1.0 un,Almacen
2026-03-08,Gelatina sin sabor Carrefour Classic 14 grs,Carrefour,672.49,1.0 un,Almacen
2026-03-08,Papas fritas Bulnez sabor original en tubo 100 grs,Bulnez,2190.0,1.0 un,Almacen
2026-03-08,Papas fritas Bulnez sabor queso y cebolla en tubo 100 grs,Bulnez,2190.0,1.0 un,Almacen
2026-03-08,Salsa barbacoa Hellmanns dp 250 grs,Hellmanns,2579.0,1.0 un,Almacen
2026-03-08,Tomate perita Salsati pelado 400 grs,Salsati,1639.0,1.0 un,Almacen
2026-03-08,Garbanzo seco Carrefour Classic remojado 340 grs,Carrefour,751.06,1.0 un,Almacen
2026-03-08,Choclo amarillo Carrefour Classic cremoso 340 grs,Carrefour,626.05,1.0 un,Almacen
2026-03-08,Arvejas secas Carrefour Classic remojadas 340 grs,Carrefour,715.17,1.0 un,Almacen
2026-03-08,Fideos multicereal sin tacc Wakas fusilli kale 300 grs,Wakas,2950.0,1.0 un,Almacen
2026-03-08,Fideos de arroz sin tacc Wakas fusilli con quinoa 300 grs,Wakas,2959.0,1.0 un,Almacen
2026-03-08,Harina de trigo 00 Chacabuco napolitana 1 kg,Chacabuco,2299.0,1.0 un,Almacen
2026-03-08,Fideo tallarin Bulnez en paquete 500 g.,Bulnez,839.0,1.0 un,Almacen
2026-03-08,Aceitunas negras Carrefour Classic doypack 180 grs,Carrefour,2622.6,1.0 un,Almacen
2026-03-08,Polvo para hornear Carrefour Classic 50 grs,Carrefour,1002.8,1.0 un,Almacen
2026-03-08,Bicarbonato de sodio Carrefour Classic 50 g.,Carrefour,687.27,1.0 un,Almacen
2026-03-08,Escencia de vainilla Carrefour Classic en botella 110 cc.,Carrefour,1071.0,1.0 un,Almacen
2026-03-08,Jugo de limón Bulnez en botella 500 cc.,Bulnez,1790.0,1.0 un,Almacen
2026-03-08,Puré de tomates Bulnez 520 g.,Bulnez,799.0,1.0 un,Almacen
2026-03-08,Salsa filetto Knorr 340 g.,Knorr,1499.0,1.0 un,Almacen
2026-03-08,Salsa pomarola tradicional Knorr 340 g.,Knorr,1499.0,1.0 un,Almacen
2026-03-08,Salsa pizza Knorr 340 g.,Knorr,1499.0,1.0 un,Almacen
2026-03-08,Caldo de carne Knorr en cubos 12 uni,Knorr,2725.0,1.0 un,Almacen
2026-03-08,Picadillo de carne Carrefour Classic 90 g.,Carrefour,818.09,1.0 un,Almacen
2026-03-08,Premezcla para pizza pan Puereza sin tacc 500 g.,Pureza,3869.0,1.0 un,Almacen
2026-03-08,Fideos tirabuzón Don bernabeu 500 g.,Don Bernabeu,849.0,1.0 un,Almacen
2026-03-08,Fideos mostachole Don bernabeu 500 g.,Don Bernabeu,849.0,1.0 un,Almacen
2026-03-08,Pimienta negra Carrefour classic en sobre 25 g.,Carrefour,1341.0,1.0 un,Almacen
