Date,Product,Brand,Price_W2,Unit
2026-03-22,Aceite de oliva extra virgen Lira pet 500 cc.,Lira,15015.0,1.0 un
2026-03-22,Arroz parboil Dos Hermanos bolsa 1 kg.,Dos Hermanos,2050.0,1.0 un
2026-03-22,Arvejas secas remojadas Doña Pupa tetra 340 g.,Doña Pupa,719.0,1.0 un
2026-03-22,Arroz integral Molinos Ala bolsa 1 kg.,Molinos Ala,2250.0,1.0 un
2026-03-22,Ajo en polvo Pergola 25 g. sin TACC,Pergola,550.0,1.0 un
2026-03-22,Ketchup Natura 500 cc.,Natura,2929.0,1.0 un
2026-03-22,Pan Rallado Morixe 1 kg.,Morixe,2700.0,1.0 un
2026-03-22,Aceite en aerosol Cañuelas de girasol 187 cc.,Cañuelas,3915.0,1.0 un
2026-03-22,Mayonesa Heinz con jugo de limón 350 g.,Heinz,2609.0,1.0 un
2026-03-22,Atún Bulnez en aceite desmenuzado 170 g.,Bulnez,1190.0,1.0 un
2026-03-22,Polvo para Hornear Royal 100 g.,Royal,1851.75,1.0 un
2026-03-22,Duraznos amarillos en mitades Carrefour Light 800 g.,Carrefour,2447.9,1.0 un
2026-03-22,Rebozador Aglu 450 g. SIN TACC.,Aglu,2400.0,1.0 un
2026-03-22,Caldo de verduras Carrefour classic caja 12 u.,Carrefour,1355.9,1.0 un
2026-03-22,Fideos monos Lucchetti bolsa 500 g.,Lucchetti,2409.0,1.0 un
2026-03-22,Pan rallado Mamá Cocina fortificado 1 kg.,Mamá Cocina,2950.0,1.0 un
2026-03-22,Jugo de limón Minerva pet 500 cc.,Minerva,2474.25,1.0 un
2026-03-22,Fideos municiones Terrabusi 500 g.,Terrabusi,1165.0,1.0 un
2026-03-22,Pan rallado Carrefour classic 500 g.,Carrefour,1071.0,1.0 un
2026-03-22,Aceite de oliva Carrefour Classic virgen en botella 500 ml,Carrefour,10662.8,1.0 un
2026-03-22,Ajo picado deshidratado 50 g.,Genérico,1169.0,1.0 un
2026-03-22,Adobo para pizza 50 g.,Genérico,1099.0,1.0 un
2026-03-22,Aceite de oliva La Toscana extra virgen 500 cc.,La Toscana,18279.0,1.0 un
2026-03-22,Arroz Molinos Ala largo fino 00000 bolsa 500 g.,Molinos Ala,1050.0,1.0 un
2026-03-22,Tomate perita Arcor 400 g.,Arcor,1269.0,1.0 un
2026-03-22,Mayonesa Mayoliva aceite de oliva 250 cc.,Mayoliva,2389.0,1.0 un
2026-03-22,Salsa de soja La Parmesana 300 g.,La Parmesana,2700.0,1.0 un
2026-03-22,Sal parrillera Dos Anclas caja 500 g.,Dos Anclas,1339.0,1.0 un
2026-03-22,Harina leudante Caserita x 1 kg,Caserita,1499.0,1.0 un
2026-03-22,Palmitos enteros Carrefour 400 g.,Carrefour,4311.0,1.0 un
2026-03-22,Sal fina Celusal 500 g.,Celusal,1685.0,1.0 un
2026-03-22,Tomate perita La campagnola 400 g.,La Campagnola,1064.25,1.0 un
2026-03-22,Picadillo de carne Swift 90 g.,Swift,1265.0,1.0 un
2026-03-22,Sal fina Dos Anclas 500 g.,Dos Anclas,1619.0,1.0 un
2026-03-22,Avena instantánea Quaker en caja 500 grs,Quaker,3369.0,1.0 un
2026-03-22,Fideos casereccia al huevo Rina Matarazzo 500 grs,Rina,3500.0,1.0 un
2026-03-22,Galletitas saladas Saladix sabor pizza 40 grs,Saladix,649.35,1.0 un
2026-03-22,Galletitas original Club Social x6 24 grs,Club Social,2600.22,1.0 un
2026-03-22,Picadillo de carne Bulnez en lata 90 grs,Bulnez,849.0,1.0 un
2026-03-22,Aceite de oliva virgen Carrefour Classic pet 500 ml,Carrefour,9860.6,1.0 un
2026-03-22,Arroz largo fino Bulnez 500 grs,Bulnez,619.0,1.0 un
2026-03-22,Fideos secos Bulnez pamperitos 500 grs,Bulnez,959.0,1.0 un
2026-03-22,Papas fritas Pehuamar acanaladas 450 grs,Pehuamar,9765.0,1.0 un
2026-03-22,Baguetin Carrefour Classic sabor jamón 70 grs,Carrefour,881.79,1.0 un
2026-03-22,Baguetin Carrefour Classic sabor pizza 70 grs,Carrefour,881.79,1.0 un
2026-03-22,Aceitunas verdes en rodajas Nucete dp 220 grs,Nucete,1765.0,1.0 un
2026-03-22,Aceitunas verdes Nucete dp 220 grs,Nucete,1389.0,1.0 un
2026-03-22,Lentejón Carrefour Classic 400 grs,Carrefour,1990.0,1.0 un
2026-03-22,Maíz pisingallo Carrefour Classic 400 grs,Carrefour,819.0,1.0 un
2026-03-22,Fideos ramen Arcor sabor pollo 70 grs,Arcor,1479.0,1.0 un
2026-03-22,Polenta instantanea Molinos Ala 500 grs,Molinos Ala,800.0,1.0 un
2026-03-22,Fideos tirabuzón Matarazzo proteina plus 400 grs,Matarazzo,3649.0,1.0 un
